Medium,Transport Type,Vehicle Type,Drive,FUEL,TECHNOLOGY
air,freight,air,air,d_trn_air_freight,TRN_air_freight
air,passenger,air,air,d_trn_air_passenger,TRN_air_passenger
nonspecified,nonspecified,nonspecified,nonspecified,d_trn_nonspecified,TRN_nonspecified
rail,freight,rail,rail,d_trn_rail_freight,TRN_rail_freight
rail,passenger,rail,rail,d_trn_rail_passenger,TRN_rail_passenger
road,freight,ht,bev,d_trn_road_freight_ht_bev,TRN_road_freight_ht_bev
road,freight,ht,cng,d_trn_road_freight_ht_cng,TRN_road_freight_ht_cng
road,freight,ht,d,d_trn_road_freight_ht_d,TRN_road_freight_ht_d
road,freight,ht,fcev,d_trn_road_freight_ht_fcev,TRN_road_freight_ht_fcev
road,freight,ht,g,d_trn_road_freight_ht_g,TRN_road_freight_ht_g
road,freight,ht,lpg,d_trn_road_freight_ht_lpg,TRN_road_freight_ht_lpg
road,freight,lt,bev,d_trn_road_freight_lt_bev,TRN_road_freight_lt_bev
road,freight,lt,cng,d_trn_road_freight_lt_cng,TRN_road_freight_lt_cng
road,freight,lt,d,d_trn_road_freight_lt_d,TRN_road_freight_lt_d
road,freight,lt,fcev,d_trn_road_freight_lt_fcev,TRN_road_freight_lt_fcev
road,freight,lt,g,d_trn_road_freight_lt_g,TRN_road_freight_lt_g
road,freight,lt,lpg,d_trn_road_freight_lt_lpg,TRN_road_freight_lt_lpg
road,freight,lt,phevg,d_trn_road_freight_lt_phevg,TRN_road_freight_lt_phevg
road,passenger,2w,bev,d_trn_road_passenger_2w_bev,TRN_road_passenger_2w_bev
road,passenger,2w,g,d_trn_road_passenger_2w_g,TRN_road_passenger_2w_g
road,passenger,bus,bev,d_trn_road_passenger_bus_bev,TRN_road_passenger_bus_bev
road,passenger,bus,cng,d_trn_road_passenger_bus_cng,TRN_road_passenger_bus_cng
road,passenger,bus,d,d_trn_road_passenger_bus_d,TRN_road_passenger_bus_d
road,passenger,bus,fcev,d_trn_road_passenger_bus_fcev,TRN_road_passenger_bus_fcev
road,passenger,bus,g,d_trn_road_passenger_bus_g,TRN_road_passenger_bus_g
road,passenger,bus,lpg,d_trn_road_passenger_bus_lpg,TRN_road_passenger_bus_lpg
road,passenger,lt,bev,d_trn_road_passenger_lt_bev,TRN_road_passenger_lt_bev
road,passenger,lt,cng,d_trn_road_passenger_lt_cng,TRN_road_passenger_lt_cng
road,passenger,lt,d,d_trn_road_passenger_lt_d,TRN_road_passenger_lt_d
road,passenger,lt,fcev,d_trn_road_passenger_lt_fcev,TRN_road_passenger_lt_fcev
road,passenger,lt,g,d_trn_road_passenger_lt_g,TRN_road_passenger_lt_g
road,passenger,lt,lpg,d_trn_road_passenger_lt_lpg,TRN_road_passenger_lt_lpg
road,passenger,lt,phevg,d_trn_road_passenger_lt_phevg,TRN_road_passenger_lt_phevg
road,passenger,lv,bev,d_trn_road_passenger_lv_bev,TRN_road_passenger_lv_bev
road,passenger,lv,cng,d_trn_road_passenger_lv_cng,TRN_road_passenger_lv_cng
road,passenger,lv,d,d_trn_road_passenger_lv_d,TRN_road_passenger_lv_d
road,passenger,lv,fcev,d_trn_road_passenger_lv_fcev,TRN_road_passenger_lv_fcev
road,passenger,lv,g,d_trn_road_passenger_lv_g,TRN_road_passenger_lv_g
road,passenger,lv,lpg,d_trn_road_passenger_lv_lpg,TRN_road_passenger_lv_lpg
road,passenger,lv,phevg,d_trn_road_passenger_lv_phevg,TRN_road_passenger_lv_phevg
ship,freight,ship,ship,d_trn_ship_freight,TRN_ship_freight
ship,passenger,ship,ship,d_trn_ship_passenger,TRN_ship_passenger
road,freight,ht,phevd,d_trn_road_freight_ht_phevd,TRN_road_freight_ht_phevd
road,passenger,bus,phevd,d_trn_road_passenger_bus_phevd,TRN_road_passenger_bus_phevd
